candidate_id,track,ingredient,nutrient,mechanism,relation_type,verdict,draft_eligible,itemseqs_checked,confidence,risk_level,potassium_safety_card,gate_reason,adversarial_fails,source_quote,safe_copy,live_integration_forbidden
F-CEPH-02,nutrient,세푸록심,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-03,nutrient,세프포독심,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-04,nutrient,세프프로질,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-05,nutrient,세픽심,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-06,nutrient,세프라딘,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-07,nutrient,세프카펜,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-08,nutrient,세프디토렌,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-09,nutrient,세팔렉신,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-10,nutrient,세프록사딘,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-CORT-03,nutrient,메틸프레드니솔론,칼륨,depletion,monitoring,needs_review,False,,no_product,moderate,true,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-CORT-07,nutrient,메틸프레드니솔론,칼슘,absorption,monitoring,needs_review,False,,no_product,moderate,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-CORT-04,nutrient,덱사메타손,칼륨,depletion,monitoring,needs_review,False,,no_product,moderate,true,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-CORT-05,nutrient,하이드로코르티손,칼륨,depletion,monitoring,needs_review,False,,no_product,moderate,true,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-CORT-06,nutrient,플루드로코르티손,칼륨,depletion,monitoring,needs_review,False,,no_product,moderate,true,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-LOOP-01,nutrient,부메타니드,칼륨,depletion,monitoring,needs_review,False,,no_product,moderate,true,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-LOOP-02,nutrient,부메타니드,마그네슘,depletion,monitoring,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-LOOP-03,nutrient,피레타니드,칼륨,depletion,monitoring,needs_review,False,,no_product,moderate,true,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-LOOP-04,nutrient,아조세미드,칼륨,depletion,monitoring,needs_review,False,,no_product,moderate,true,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
D-LOOP-05,nutrient,아조세미드,마그네슘,depletion,monitoring,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
