rank,ingredient,product_count,therapeutic_class,precheck_class,proposed_nutrient,mechanism,detector_key,potassium_safety,risk_level,recovery_promoted,reason
1,프레가발린,200,신경/뇌,rejected_precheck,,,,false,none,no,가바펜티노이드 CNS약. 허가사항에 5영양소 고갈/흡수저해 동거어 없음. seed지만 약리적 근거 부재 → rejected.
2,피나스테리드,193,비뇨/전립선,rejected_precheck,,,,false,none,no,5알파환원효소 억제제(5ARI). 허가사항에 비타민/미네랄 고갈·흡수 상호작용 없음. 룰 명시 제외군 → rejected.
3,몬테루카스트나트륨,186,호흡기/알레르기,rejected_precheck,,,,false,none,no,류코트리엔 수용체 길항제(호흡기/알레르기). 성분명 나트륨은 염 짝이온일 뿐 영양소 관계 아님. 5영양소 라벨 동거어 없음 → rejected.
4,라베프라졸나트륨,174,소화/위장,already_covered_or_drafted,,,,false,none,no,"PPI, 목록 covered=yes. 이미 live relation(마그네슘/철분/B12 등)으로 covered → already_covered."
5,모사프리드시트르산염수화물,160,소화/위장,rejected_precheck,,,,false,none,no,5-HT4 작용 위장운동개선제. 룰 명시 제외군(위장운동). 5영양소 고갈/흡수 라벨 동거어 없음 → rejected.
6,탐스로신염산염,160,비뇨/전립선,rejected_precheck,,,,false,none,no,알파1 차단제(전립선/배뇨). 룰 명시 제외군(알파차단). 영양소 고갈/흡수 상호작용 없음 → rejected.
7,아목시실린수화물/묽은클라불란산칼륨,159,항생/항균,rejected_precheck,,,,false,none,no,페니실린계 항생제. 성분명 클라불란산'칼륨'은 염 짝이온일 뿐 칼륨 영양소 고갈/상승 관계 아님. 항생제 자체는 5영양소 라벨 depletion 동거어 부재 → rejected.
8,플루코나졸,156,항진균,rejected_precheck,,,,false,none,no,아졸계 항진균제. 룰 명시 제외군(항진균). 저칼륨혈증 언급은 통상 병용약 맥락이며 자체 영양소 고갈 라벨 관계 미약 → rejected.
9,타다라필,150,비뇨/전립선,rejected_precheck,,,,false,none,no,PDE5 억제제. 룰 명시 제외군(PDE5). 영양소 고갈/흡수 상호작용 없음 → rejected.
10,레바미피드,149,소화/위장,rejected_precheck,,,,false,none,no,위점막보호제(소화/위장). 5영양소 고갈/흡수 저해 라벨 동거어 없음 → rejected.
11,도네페질염산염수화물,146,신경/뇌,rejected_precheck,,,,false,none,no,콜린에스터분해효소 억제제(치매약). 룰 명시 제외군(치매약). 영양소 고갈/흡수 관계 없음 → rejected.
12,클래리트로마이신,144,항생/항균,rejected_precheck,,,,false,none,no,마크로라이드 항생제. CYP3A/QT 상호작용이 주이며 5영양소 고갈/흡수 라벨 depletion 동거어 부재 → rejected.
13,아세클로페낙,143,해열진통/소염,rejected_precheck,,,,false,none,no,NSAID. 룰 명시 제외군(NSAID). 영양소 고갈/흡수 상호작용 없음 → rejected.
14,에페리손염산염,142,해열진통/소염,rejected_precheck,,,,false,none,no,중추성 근이완제. 5영양소 고갈/흡수 라벨 동거어 없음 → rejected.
15,가바펜틴,137,신경/뇌,rejected_precheck,,,,false,none,no,"가바펜티노이드 CNS약. 룰 명시 제외군. 프레가발린과 동일 약리, 영양소 고갈/흡수 관계 부재 → rejected."
16,글리메피리드,136,당뇨,rejected_precheck,,,,false,none,no,설포닐우레아(SU) 혈당강하제. 룰 명시 제외군(혈당강하 비메트포르민). B12고갈은 메트포르민 특이 → SU는 5영양소 라벨 관계 없음 → rejected.
17,록소프로펜나트륨수화물,135,해열진통/소염,rejected_precheck,,,,false,none,no,"NSAID. 성분명 나트륨은 염 짝이온일 뿐. 룰 명시 제외군(NSAID), 영양소 고갈/흡수 없음 → rejected."
18,세파클러수화물,134,항생/항균,rejected_precheck,,,,false,none,no,"세팔로스포린 항생제. 일부 경구 세팔로스포린은 제산제(칼슘/마그네슘/철)와 흡수 상호작용 언급될 수 있어 absorption 동거어 개연성 약간 있으나, 세파클러 자체 라벨엔 미네랄 흡수 킬레이션 표기 통상 없음(퀴놀론·테트라사이클린과 달리) → 개연성 낮아 rejected."
19,쿠에티아핀푸마르산염,130,정신건강(민감),sensitive_hold,,,,false,high,no,"비정형 항정신병약, 정신건강 민감 카테고리(sensitive=yes). fetch 금지·검토만 → sensitive_hold."
20,사르포그렐레이트염산염,120,고혈압/심혈관,sensitive_hold,,,,false,high,no,"5-HT2 길항 항혈소판제. 항혈전/항혈소판은 룰 명시 민감 카테고리 → source_check_candidate 금지, sensitive_hold."
21,레보드로프로피진,119,호흡기/알레르기,rejected_precheck,,,,false,none,no,말초성 진해제(진해거담). 룰 명시 제외군. 영양소 고갈/흡수 관계 없음 → rejected.
22,솔리페나신숙신산염,115,비뇨/전립선,rejected_precheck,,,,false,none,no,항무스카린(과활동성방광). 5영양소 고갈/흡수 라벨 동거어 없음 → rejected.
