candidate_id,priority_rank,ingredient,candidate_type,nutrient,theme_direction,products_checked,products_with_signal,found_item_seqs,source_status,promote_eligible,evidence_quote,source_url,source_method,source_checked_at,note
E01,1,라베프라졸,PPI,마그네슘,depletion,3,3,201405854;201308942;201206679,source_confirmed,true,"효소 수치의 상승이 보고되었으며, 드물게 간염, 황달이 보고되었다. 간경변 환자에서 간성뇌증이 드물게 보고되었다. 급사, 혼수, 고암모니아혈증, 횡문근융해, 방향감각장애, 섬망, 아나필락시스, 혈관부종이 보고되었다. 또한, 드물게 저마그네슘혈증, 혈소판감소, 호중구감소, 백혈구감소, 무과립구증, 용혈성빈혈, 범혈구감소증, 수포성 혹은 두드러기성 피부 발진 및 전신적인 알레르기 반응(저혈압, 호흡곤란, 안면부종 등), 근육통, ",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201405854,nedrug.getItemDetail,2026-06-13,전 품목(3/3) 허가사항 상호작용/주의에 신호 존재
E01,1,라베프라졸,PPI,비타민B12,depletion,3,3,201405854;201308942;201206679,source_confirmed,true,"여 중단을 고려할 수 있다(상호작용항 참조). 10) 헬리코박터필로리 박멸을 위한 항생제 병용요법으로 이 약과 같이 투여하는 항균제의 사용설명서를 참조해야 한다. 11) 이 약의 장기투여로 인해 저염산증 또는 무위산증에 의해 비타민 B12 (시아노코발라민) 흡수장애가 나타날 가능성이 있다. 12) 피부 및 전신홍반루푸스 : 프로톤펌프억제제를 복용한 환자에서 피부홍반루푸스(Cutaneous lupus erythematosus, ",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201405854,nedrug.getItemDetail,2026-06-13,전 품목(3/3) 허가사항 상호작용/주의에 신호 존재
E02,2,판토프라졸,PPI,마그네슘,depletion,3,3,202107096;201200590;200705176,source_confirmed,true,"과 같은 심각한 피부 증상, 광감수성 내분비계 고혈당증 혈액 및 임파계 무과립구증 백혈구감소증, 혈소판감소증, 범혈구감소증 생식기계 여성형유방 대사 및 영양계 고지혈증과 지질증가(트리글리세라이드,콜레스테롤), 체중변화 저나트륨혈증, 저마그네슘혈, CK(creatinine kinase)상승 1) 기관계별 이상반응 2) 이 약과의 인과관계에 상관없이 1 %이상에서 추가로 발생한 이상반응은 다음과 같다. : 불안, 관절통, 무기력증",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202107096,nedrug.getItemDetail,2026-06-13,전 품목(3/3) 허가사항 상호작용/주의에 신호 존재
E02,2,판토프라졸,PPI,비타민B12,depletion,3,3,202107096;201200590;200705176,source_confirmed,true,도염은 내시경으로 확인되어야 한다. 5) 이 약은 신경성 위질환 같은 경미한 위통증 및 장통증에는 사용하지 않는다. 6) 졸링거-엘리슨증후군(ZES) 또는 병적인 위산과다 환자에게 장기간 투여시 저염산증 또는 무위산증에 의해 비타민 B12(cyanocobalamin) 흡수장애가 나타날 가능성이 있다. 7) 헬리코박터필로리 박멸을 위한 항생제 병용요법으로 이 약과 같이 투여하는 항균제의 사용설명서를 참조해야 한다. 8) 일부 해,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202107096,nedrug.getItemDetail,2026-06-13,전 품목(3/3) 허가사항 상호작용/주의에 신호 존재
E03,3,란소프라졸,PPI,마그네슘,depletion,2,2,201308978;201308053,source_confirmed,true,"구토, 췌장염, 복통, 미각이상 (3) 혈액 및 림프계 : 무과립구증, 재생불량성 빈혈, 용혈빈혈, 과립구감소증, 백혈구감소증, 호중구감소증, 범혈구감소증, 혈소판감소증, 혈전성혈소판감소자반증, 호산구증가 (4) 대사 및 영양계 : 저마그네슘혈증 (5) 감염 : 클로스트리듐 디피실레성 설사 (6) 근골격계 : 골절, 근육염 (7) 피부 및 부속기관 : 다형홍반, 독성표피괴사용해(리엘증후군)(일부태아), 피부점막안증후군(스티븐스",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201308978,nedrug.getItemDetail,2026-06-13,전 품목(2/2) 허가사항 상호작용/주의에 신호 존재
E03,3,란소프라졸,PPI,비타민B12,depletion,2,2,201308978;201308053,source_confirmed,true,"자에서 급성 간질성 신장염이 관찰되었다. 급성 간질성 신장염은 프로톤펌프억제제 치료 기간 중 언제라도 발생할 수 있으며, 일반적으로 특발성 과민반응에 의해 발생한다. 급성 간질성 신장염이 발생한 경우 이 약의 투여를 중단한다. 3) 시아노코발라민(비타민B12)결핍 : 위산 억제 약물을 장기간 (예, 3년 이상) 매일 투여하는 경우, 저염산증 또는 무위산증에 의해 시아노코발라민 (비타민 B12)흡수장애가 나타날 수 있다. 문헌에",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201308978,nedrug.getItemDetail,2026-06-13,전 품목(2/2) 허가사항 상호작용/주의에 신호 존재
E05,5,덱스란소프라졸,PPI,마그네슘,depletion,2,2,201802450;201207343,source_confirmed,true,"장염 - 전신질환 및 투여부위 이상: 안면 부종 - 간담도계 질환: 약물-유발성 간염 - 면역계 질환: 아나필락시 쇼크(응급처치를 요함), 박탈피부염, 스티븐스-존슨 증후근, 독성표피괴사용해(일부는 치명적) - 대사 및 영양 장애: 저마그네슘혈증, 저나트륨혈증 - 근골격계 질환: 골절 - 신경계 질환: 뇌혈관사고, 일과성허혈발작 - 신장 및 비뇨기계 질환: 급성 신부전 - 호흡, 흉부, 종격질환: 인두 부종, 목 조이는 증상(",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201802450,nedrug.getItemDetail,2026-06-13,전 품목(2/2) 허가사항 상호작용/주의에 신호 존재
E05,5,덱스란소프라졸,PPI,비타민B12,depletion,2,2,201802450;201207343,source_confirmed,true,"에서 급성 간질성 신장염이 관찰되었다. 급성 간질성 신장염은 프로톤 펌프 억제제 치료 기간 중 언제라도 발생할 수 있으며, 일반적으로 특발성 과민반응에 의해 발생한다. 급성 간질성 신장염이발생한 경우 이 약의 투여를 중단한다. 3) 시아노코발라민(비타민B 12 ) 결핍 : 위산 억제약물을 장기간 (예, 3년 이상) 매일 투여하는 경우, 저염산증 또는 무위산증에 의해 시아노코발라민 비타민 흡수장애가 나타날 수 있다. 문헌에서 위",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201802450,nedrug.getItemDetail,2026-06-13,전 품목(2/2) 허가사항 상호작용/주의에 신호 존재
E04,4,리세드론산,비스포스포네이트,칼슘·철·마그네슘(다가양이온),absorption,3,3,201903166;200803148;200713889,source_confirmed,true,"치료 개시후 1일부터 몇 개월까지 다양하였다. 대부분의 환자는 치료 중단후 증상이 경감되었다. 이 환자들 중 일부에서는 동일한 또는 다른 비스포스포네이트를 재투여했을 때 증상이 재발하였다. 7) 환자에게 제공되어야 할 정보 (1) 다가 양이온(칼슘, 마그네슘, 철, 알루미늄 등)을 함유한 약물, 식품, 순수한 물 이외의 음료수는 이 약의 흡수를 방해할 수 있기 때문에 동시에 투여하지 말아야 한다. 따라서 이 약의 입증된 유익성",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903166,nedrug.getItemDetail,2026-06-13,전 품목(3/3) 허가사항 상호작용/주의에 신호 존재
E06,6,이반드론산,비스포스포네이트,칼슘·철·마그네슘(다가양이온),absorption,2,2,201306285;201306253,source_confirmed,true,"게 발생하고, 일부 환자에게는 완전 골절 전에 전구증상으로 통증이 나타난다. 척골 골절은 장기간 보행보조기 사용과 관련된 반복 응력하중(stress loading)과 관련이 있을 수 있다. 5. 상호작용 1) 우유, 음식물, 칼슘, 다가 양이온(예, 알루미늄, 마그네슘, 철)들을 포함한 제품들은 이 약의 흡수를 저해할 수 있다. 따라서 이 약 경구투여 후 적어도 1시간 동안은 음식물이나 이러한 제품들을 섭취하지 말아야 한다. ",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201306285,nedrug.getItemDetail,2026-06-13,전 품목(2/2) 허가사항 상호작용/주의에 신호 존재
E07,7,파모티딘,H2차단제,비타민B12,depletion,2,0,,missing,false,,,nedrug.getItemDetail,2026-06-13,fetch 2품목 어디에도 신호 없음 — 한국 허가사항 미기재(literature only 가능)
E09,9,라푸티딘,H2차단제,비타민B12,depletion,3,0,,missing,false,,,nedrug.getItemDetail,2026-06-13,fetch 3품목 어디에도 신호 없음 — 한국 허가사항 미기재(literature only 가능)
E10,10,니자티딘,H2차단제,비타민B12,depletion,3,0,,missing,false,,,nedrug.getItemDetail,2026-06-13,fetch 3품목 어디에도 신호 없음 — 한국 허가사항 미기재(literature only 가능)
E08,8,세프디니르,세팔로스포린,철분,absorption,3,3,200711458;200712298;200709156,source_confirmed,true,"한다. 6) 세팔로스포린 제제 투여로 발작이 발생할 수 있으며, 특히 용량을 적절하게 감량하지 않은 신장애 환자에서 발생한다. 발작이 발생하면 투여를 중지하고 임상적으로 필요할 때만 항전간요법이 투여될 수 있다. 5. 상호작용 1) 철분제제와 함께 복용하면 이 약의 흡수를 약 1/10까지 저해하므로 함께 복용하지 않는 것이 좋다. 부득이 함께 복용할 경우에는 이 약의 투여후 3시간 이상 간격을 두고 투여한다. 2) 와르파린과 ",https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200711458,nedrug.getItemDetail,2026-06-13,전 품목(3/3) 허가사항 상호작용/주의에 신호 존재
