candidate_id,priority_rank,candidate_type,seed_query_name,matched_ingredient_or_class,proposed_relation_theme,expected_nutrient,expected_relation_direction,estimated_user_value,estimated_card_expansion_impact,source_required,suggested_source_type,review_required,risk_level,caution_flags,suggested_copy_tone,reason,do_not_implement_yet
E01,1,same_class_extension,라베프라졸,라베프라졸(PPI),장기 위산억제 시 마그네슘·비타민B12 영향 가설(미확정),마그네슘·비타민B12,depletion,high,216,true,허가사항(MFDS nedrug getItemDetail),true,low,none,"장기 복용 시 마그네슘 수치가 낮아질 수 있다는 보고가 있어 필요 시 약사·의사와 상담을 권장합니다(참고용·복용지시 아님)","기존 오메프라졸 relation13·14와 동일 PPI 계열·출처 패턴 재현 용이, name_only 최다 PPI(216). 기존 후보 C03",true
E02,2,same_class_extension,판토프라졸,판토프라졸(PPI),장기 위산억제 시 마그네슘·비타민B12 영향 가설(미확정),마그네슘·비타민B12,depletion,medium,45,true,허가사항(MFDS nedrug getItemDetail),true,low,none,"장기 복용 시 마그네슘 수치가 낮아질 수 있다는 보고가 있어 필요 시 상담을 권장합니다(참고용)","오메프라졸 PPI 계열 동일·안전선 승계 용이. 기존 후보 C01",true
E03,3,same_class_extension,란소프라졸,란소프라졸(PPI),장기 위산억제 시 마그네슘·비타민B12 영향 가설(미확정),마그네슘·비타민B12,depletion,low,10,true,허가사항(MFDS nedrug getItemDetail),true,low,none,"장기 복용 시 마그네슘 수치 관련 참고 정보(복용지시 아님)","PPI 동일 계열. name_only 소수(10). 기존 후보 C02",true
E04,4,same_class_extension,리세드론산,리세드론산(비스포스포네이트),경구 흡수 시 칼슘·철분·마그네슘 동시복용 영향 가설(미확정),칼슘·철분·마그네슘,absorption,high,118,true,허가사항(MFDS nedrug getItemDetail),true,low,none,"같은 시간대 복용 시 흡수가 줄 수 있어 시간 간격을 두는 것이 권장될 수 있습니다(참고용)","기존 알렌드론산 relation29와 동일 비스포스포네이트·경구 흡수 상호작용 라벨 표준, 출처 재현 용이",true
E05,5,same_class_extension,덱스란소프라졸,덱스란소프라졸(PPI),장기 위산억제 시 마그네슘·비타민B12 영향 가설(미확정),마그네슘·비타민B12,depletion,low,4,true,허가사항(MFDS nedrug getItemDetail),true,low,none,"장기 복용 시 마그네슘 수치 관련 참고 정보(복용지시 아님)","PPI 동일 계열(란소프라졸 활성이성질체). name_only 소수(4)",true
E06,6,same_class_extension,이반드론산,이반드론산(경구 비스포스포네이트),경구 흡수 시 칼슘·철분·마그네슘 동시복용 영향 가설(미확정),칼슘·철분·마그네슘,absorption,medium,73,true,허가사항(MFDS nedrug getItemDetail),true,low,none,"같은 시간대 복용 시 흡수가 줄 수 있어 시간 간격 권장 참고(복용지시 아님)","알렌드론산 계열·경구 흡수 상호작용. 졸레드론산(주사제)은 경구흡수 무관이라 제외",true
E07,7,adjacent_mechanism,파모티딘,파모티딘(H2 차단제),장기 위산억제 시 비타민B12 흡수 영향 가설(미확정),비타민B12,depletion,high,106,true,허가사항(MFDS nedrug getItemDetail)+이차문헌,true,low_medium,mechanism_adjacent_not_same_class,"장기 복용 시 비타민B12 관련 참고 정보가 있을 수 있어 상담 권장(참고용)","PPI와 다른 계열이나 위산억제 기전 인접(B12 흡수). 출처 확인 난이도 PPI보다 다소 높음",true
E08,8,new_specific,세프디니르,세프디니르(세팔로스포린),철분 함유 제제 동시복용 시 흡수 영향 가설(미확정),철분,absorption,low,7,true,허가사항(MFDS nedrug getItemDetail),true,low_medium,none,"철분 함유 제제와 같은 시간 복용 시 흡수에 영향 줄 수 있어 간격 권장(참고용)","세프디니르-철분 흡수 상호작용은 비교적 잘 알려짐. 기존 항생제(퀴놀론·테트라) 흡수 패턴과 유사하나 계열은 신규",true
E09,9,adjacent_mechanism,라푸티딘,라푸티딘(H2 차단제),장기 위산억제 시 비타민B12 흡수 영향 가설(미확정),비타민B12,depletion,low,48,true,허가사항(MFDS nedrug getItemDetail)+이차문헌,true,low_medium,mechanism_adjacent_not_same_class,"장기 복용 시 비타민B12 관련 참고 정보(복용지시 아님)","H2 차단제 계열·파모티딘과 동일 기전. 출처 확인 후 채택",true
E10,10,adjacent_mechanism,니자티딘,니자티딘(H2 차단제),장기 위산억제 시 비타민B12 흡수 영향 가설(미확정),비타민B12,depletion,low,48,true,허가사항(MFDS nedrug getItemDetail)+이차문헌,true,low_medium,mechanism_adjacent_not_same_class,"장기 복용 시 비타민B12 관련 참고 정보(복용지시 아님)","H2 차단제 계열·파모티딘과 동일 기전. 출처 확인 후 채택",true
E11,11,same_class_extension,클로르탈리돈,클로르탈리돈(치아지드계 이뇨제),전해질(칼륨·마그네슘) 영향 가설(미확정),칼륨·마그네슘,depletion,low,2,true,허가사항(MFDS nedrug getItemDetail),true,medium,potassium_safety_inherit;hypokalemia_caution;product_link_forbidden,"전해질 수치가 변할 수 있어 정기적 확인과 상담이 권장될 수 있습니다(참고용·칼륨 제품 권유 아님)","기존 HCTZ relation19·20과 동일 치아지드 계열. 반드시 칼륨 안전 정책(product_link 금지·potassium_safety_card) 승계 선행. 기존 후보 C04. name_only 소수(2)",true
E12,12,same_class_extension,인다파미드,인다파미드(치아지드 유사 이뇨제),전해질(칼륨·마그네슘) 영향 가설(미확정),칼륨·마그네슘,depletion,low,3,true,허가사항(MFDS nedrug getItemDetail),true,medium,potassium_safety_inherit;hypokalemia_caution;product_link_forbidden,"전해질 수치가 변할 수 있어 정기적 확인과 상담이 권장될 수 있습니다(참고용·칼륨 제품 권유 아님)","치아지드 유사 이뇨제·HCTZ 안전 정책 승계 필요. 기존 후보 C05. name_only 소수(3)",true
E13,13,new_class_literature,로수바스타틴,로수바스타틴(스타틴),코엔자임Q10 관련 문헌 보고 가설(미확정),코엔자임Q10,depletion,high,472,true,이차문헌(허가사항 기재 가능성 낮음),true,medium,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain,"일부 문헌에서 코엔자임Q10 관련 보고가 있으나 보충을 권하는 것이 아니라 참고 정보입니다(복용지시·제품권유 아님)","name_only 최대 단일군(472)이나 신규 계열+허가사항 미기재 가능성→source gate(허가사항 우선) 통과 불확실. 문구 톤 가장 신중. 기존 후보 C06",true
E14,14,new_class_literature,아토르바스타틴,아토르바스타틴(스타틴),코엔자임Q10 관련 문헌 보고 가설(미확정),코엔자임Q10,depletion,high,267,true,이차문헌(허가사항 기재 가능성 낮음),true,medium,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain,"일부 문헌에서 코엔자임Q10 관련 보고가 있으나 보충을 권하는 것이 아니라 참고 정보입니다(복용지시·제품권유 아님)","대중 인지도 높음(267). E13과 동일 source/톤 주의. 기존 후보 C07",true
E15,15,new_class_literature,피타바스타틴,피타바스타틴(스타틴),코엔자임Q10 관련 문헌 보고 가설(미확정),코엔자임Q10,depletion,medium,150,true,이차문헌(허가사항 기재 가능성 낮음),true,medium,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain,"일부 문헌에서 코엔자임Q10 관련 보고가 있으나 보충을 권하는 것이 아니라 참고 정보입니다(복용지시·제품권유 아님)","스타틴 계열·E13 동일 주의. name_only 150",true
E16,16,new_class_literature,심바스타틴,심바스타틴(스타틴),코엔자임Q10 관련 문헌 보고 가설(미확정),코엔자임Q10,depletion,medium,55,true,이차문헌(허가사항 기재 가능성 낮음),true,medium,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain,"일부 문헌에서 코엔자임Q10 관련 보고가 있으나 보충을 권하는 것이 아니라 참고 정보입니다(복용지시·제품권유 아님)","스타틴 계열·E13 동일 주의. name_only 55",true
E17,17,existing_ingredient_new_nutrient,레보티록신,레보티록신(갑상선호르몬·기존 covered),마그네슘 함유 제제 동시복용 시 흡수 영향 가설(미확정),마그네슘,absorption,low,0,true,허가사항(MFDS nedrug getItemDetail),true,low,enrichment_zero_new_coverage,"마그네슘 함유 제제와 같은 시간 복용 시 흡수에 영향 줄 수 있어 간격 권장(참고용)","기존 레보티록신 relation10·11(칼슘·철분)에 마그네슘 테마 추가 검토. 새 covered 품목 증가 없음(기존 품목 테마 보강)",true
E18,18,existing_ingredient_new_nutrient,플루오로퀴놀론,레보/시프로/오플록사신(기존 covered),아연 함유 제제 동시복용 시 흡수 영향 가설(미확정),아연,absorption,low,0,true,허가사항(MFDS nedrug getItemDetail),true,low,enrichment_zero_new_coverage,"아연 함유 제제와 같은 시간 복용 시 흡수에 영향 줄 수 있어 간격 권장(참고용)","기존 퀴놀론 relation(칼슘·철분·마그네슘)에 아연(다가양이온) 테마 추가 검토. 새 covered 품목 증가 없음",true
E19,19,existing_ingredient_new_nutrient,테트라사이클린,독시/미노사이클린(기존 covered),아연 함유 제제 동시복용 시 흡수 영향 가설(미확정),아연,absorption,low,0,true,허가사항(MFDS nedrug getItemDetail),true,low,enrichment_zero_new_coverage,"아연 함유 제제와 같은 시간 복용 시 흡수에 영향 줄 수 있어 간격 권장(참고용)","기존 테트라사이클린 relation에 아연 테마 추가 검토. 새 covered 품목 증가 없음",true
E20,20,index_alias_track,에스오메프라졸,에스오메프라졸(PPI·relation16 이미 존재),relation16(에스오메프라졸×마그네슘) 이미 존재—관계 신설 불필요,마그네슘(+비타민B12 검토),depletion,medium,0,true,허가사항(이미 relation16 출처 있음)+인덱스 확장,true,low,index_absent_not_relation;relation_already_exists,"(관계는 이미 있음) 인덱스에 에스오메프라졸 품목이 들어오면 자동 매핑—문구는 기존 오메프라졸 톤 승계","relation16은 있으나 인덱스에 에스오메프라졸 품목 0건이라 카드 0. 해결책은 relation 신설이 아니라 full index/alias 확장(넥시움 등). relation 트랙 아님",true
