queue_id,candidate_theme,ingredient_or_class,expected_nutrient,expected_card_impact,source_status,source_type,source_title,source_url_or_note,source_checked_at,confidence,risk_level,decision,reason,proposed_next_action,do_not_implement_yet
Q01,PPI x B12/Mg (esomeprazole index-track),에스오메프라졸(esomeprazole),비타민B12·마그네슘,index_only(relation16 존재·카드0),needs_review,허가사항,식약처 nedrug getItemDetail / 에스오메프라졸(esomeprazole),"[교차참조/index-track 신호] itemSeq 201405854 (nutrient=마그네슘; 동거 nutrient=마그네슘,비타민B12) | URL https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201405854 | 증거: ""었다. 간경변 환자에서 간성뇌증이 드물게 보고되었다. 급사, 혼수, 고암모니아혈증, 횡문근융해, 방향감각장애, 섬망, 아나필락시스, 혈관부종이 보고되었다. 또한, 드물게 저마그네슘혈증, 혈소판감소, 호중구감소, 백혈구감소, 무과립구증, 용혈성빈혈, 범혈구감소증, 수포성 혹은 두드러기성 피부 발진 및 전신적인 알레르기 반응(저혈압, 호흡곤란""",2026-06-14,low,low,needs_review,PPI 계열 동거 신호 확인되나 relation16(에스오메x마그네슘) 이미 존재 → 신규 relation 불필요. full index/alias 확장 트랙(PM 승인)에서만 다룸,신규 relation 금지. full index/alias 확장 트랙(에스오메프라졸 매핑)은 PM 승인 별도 단계.,true
Q06,Fluoroquinolone x 아연 (enrichment),레보/시프로/오플록사신(fluoroquinolone),아연,0(enrichment·기존 covered),source_confirmed,허가사항,식약처 nedrug getItemDetail / 레보/시프로/오플록사신(fluoroquinolone),"itemSeq 201207060;199602013 (nutrient=아연; 동거 nutrient=아연) | URL https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201207060 | 증거: ""중추신경자극과 경련성 발작의 위험을 증가시킬 수 있으므로 신중히 투여한다. 2) 알루미늄 또는 마그네슘 함유 제산제, 수크랄페이트, 철분 함유 제제, 칼슘 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다.""",2026-06-14,moderate,low,source_confirmed,2/3 품목 허가사항 상호작용/주의 문맥에 신호 존재,신규 relation 후보(FQ×아연) — draft 생성(PM·검토 후 별도 단계). 기존 FQ covered 품목에 아연 테마 보강.,true
Q07,Tetracycline x 아연 (enrichment),독시/미노사이클린(tetracycline),아연,0(enrichment·기존 covered),source_confirmed,허가사항,식약처 nedrug getItemDetail / 독시/미노사이클린(tetracycline),"itemSeq 201403031;198300718;202500078 (nutrient=아연; 동거 nutrient=아연) | URL https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201403031 | 증거: ""경구용 피임약과 병용투여할 경우 경구용 피임약의 효과가 저하될 수 있다. 3) 칼슘, 마그네슘, 알루미늄을 함유하는 제산제 또는 이들 양이온을 함유하는 다른 약물들, 철·아연을 함유하고 있는 제제와 약용탄, 카올린, 펙틴 또는 비스무트(bismuth)염 제제에 의해 테트라사이클린계 약물의 흡수가 저하되어 효과가 저하될 수 있다. 양이온 함""",2026-06-14,high,low,source_confirmed,3/3 품목 허가사항 상호작용/주의 문맥에 신호 존재,신규 relation 후보(테트라사이클린×아연) — draft 생성(PM·검토 후 별도 단계).,true
Q02,잔여 PPI x B12/Mg,오메프라졸 등 잔여 PPI 단일제,비타민B12·마그네슘,low(name_only 소량),source_confirmed,허가사항,식약처 nedrug getItemDetail / 오메프라졸 등 잔여 PPI 단일제,"itemSeq 199202074;200402992 (nutrient=마그네슘; 동거 nutrient=마그네슘,비타민B12) | URL https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199202074 | 증거: ""이 나타날 수 있다. 12) 시판후 조사에서 나타난 이상반응 - 감염 : 클로스트리듐 디피실레성 설사가 나타날 수 있다. (빈도불명) - 대사 및 영양계 : 매우 드물게 저마그네슘혈증이 나타날 수 있다. - 피부 및 피하조직 : 급성 전신 피진성 농포증, 호산구 증가 및 전신 증상 동반 약물 반응(DRESS 증후군) 13) 다음은 프로톤펌""",2026-06-14,high,low,source_confirmed,2/2 품목 허가사항 상호작용/주의 문맥에 신호 존재,오메프라졸은 relation13(B12)·14(Mg) 이미 라이브 → 신규 relation 불필요. 잔여 단일제 인덱스/alias 매핑(PM 승인).,true
Q03,잔여 경구 비스포스포네이트 x Ca/Fe/Mg,알렌드론산(대표·경구 비스포),칼슘·철·마그네슘,low~med(name_only 소량),reject,허가사항(미기재),식약처 nedrug getItemDetail / 알렌드론산(대표·경구 비스포),fetch 2품목(itemSeq 201902246;200500488) 상호작용 문맥에 칼슘·철·마그네슘 동거어 없음 (첨가제 문맥만/미기재). literature only 가능.,2026-06-14,low,low,reject,fetch 2품목 어디에도 상호작용 문맥 신호 없음 — 한국 허가사항 미기재(literature only 가능),미기재 — 채택 금지. source-policy(이차문헌) 결정 또는 보류.,true
Q04,비스포스포네이트 x 철/Mg enrichment,리세/이반/알렌드론산(기존 covered),철·마그네슘,0(enrichment·기존 covered),source_confirmed,허가사항,식약처 nedrug getItemDetail / 리세/이반/알렌드론산(기존 covered),"itemSeq 201903166;201306285 (nutrient=마그네슘; 동거 nutrient=마그네슘,다가양이온) | URL https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903166 | 증거: ""경감되었다. 이 환자들 중 일부에서는 동일한 또는 다른 비스포스포네이트를 재투여했을 때 증상이 재발하였다. 7) 환자에게 제공되어야 할 정보 (1) 다가 양이온(칼슘, 마그네슘, 철, 알루미늄 등)을 함유한 약물, 식품, 순수한 물 이외의 음료수는 이 약의 흡수를 방해할 수 있기 때문에 동시에 투여하지 말아야 한다. 따라서 이 약의 입증""",2026-06-14,moderate,low,source_confirmed,2/3 품목 허가사항 상호작용/주의 문맥에 신호 존재,리세/이반(relation40/41) 기존 칼슘 relation 에 Fe/Mg enrichment draft 후보(PM·검토). 알렌드론산은 다가양이온 라벨 없음→Fe/Mg 미적용.,true
Q08,Levothyroxine x Mg (enrichment),레보티록신(기존 covered),마그네슘,0(enrichment·기존 covered),reject,허가사항(미기재),식약처 nedrug getItemDetail / 레보티록신(기존 covered),fetch 3품목(itemSeq 200401821;197400278;200301116) 상호작용 문맥에 마그네슘 동거어 없음 (첨가제 문맥만/미기재). literature only 가능.,2026-06-14,low,low,reject,fetch 3품목 어디에도 상호작용 문맥 신호 없음 — 한국 허가사항 미기재(literature only 가능),미기재 — 채택 금지. source-policy(이차문헌) 결정 또는 보류.,true
Q10,치아지드유사 x 칼륨/Mg,클로르탈리돈(chlortalidone),칼륨·마그네슘,med(name_only 64)·복합 다수,source_confirmed,허가사항,식약처 nedrug getItemDetail / 클로르탈리돈(chlortalidone),"itemSeq 202500118;200302309 (nutrient=칼륨; 동거 nutrient=칼륨,마그네슘) | URL https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202500118 | 증거: ""크레아티닌청소율<30 mL/min) 3) 이 약 및 이 약의 구성성분이나 티아지드계 약물, 또는 다른 sulphonamide계 유도체에 과민반응이 있는 환자 4) 불응성 저칼륨혈증 환자 5) 저나트륨혈증, 고칼슘혈증 환자 6) 증상이 있는 고요산혈증 환자(통풍 병력 또는 요산결석증) 7) 임부 또는 임신하고 있을 가능성이 있는 여성, 수유""",2026-06-14,high,moderate,source_confirmed,2/2 품목 허가사항 상호작용/주의 문맥에 신호 존재,신규 relation 후보(클로르탈리돈×K/Mg) — 승격 시 칼륨 안전정책(product_link_allowed=false·potassium_safety_card=true) 승계 필수.,true
Q11,치아지드유사 x 칼륨/Mg,인다파미드(indapamide),칼륨·마그네슘,low~med(name_only 16),source_confirmed,허가사항,식약처 nedrug getItemDetail / 인다파미드(indapamide),"itemSeq 199900835;199501023;200805114 (nutrient=칼륨; 동거 nutrient=칼륨,마그네슘) | URL https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900835 | 증거: ""반응 1) 안전성 프로파일 가장 흔하게 보고된 이상반응은 과민반응으로, 주로 알레르기, 천식반응 및 반구진성 발진의 소인을 가진 대상에 대한 피부반응이다. 임상시험동안, 저칼륨혈증(혈장칼륨<3.4mmol/l)이 환자의 10%에서 나타났으며, 4~6주 치료 후 4%의 환자에서 혈장칼륨이 3.2mmol/l 미만으로 나타났다. 12주 후, 혈장""",2026-06-14,high,moderate,source_confirmed,3/3 품목 허가사항 상호작용/주의 문맥에 신호 존재,신규 relation 후보(인다파미드×K/Mg) — Q10 동일 칼륨 안전정책 승계 필수.,true
Q05,세팔로스포린 class x Fe/Ca/Mg,세파클러·세프포독심 등 경구 세팔로스포린,철·칼슘·마그네슘,med(name_only 다수)이나 계열일반화 불가,needs_review,허가사항,식약처 nedrug getItemDetail / 세파클러·세프포독심 등 경구 세팔로스포린,"[교차참조/index-track 신호] itemSeq 200707142 (nutrient=철; 동거 nutrient=철) | URL https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200707142 | 증거: ""특히 용량을 적절하게 감량하지 않은 신장애 환자에서 발생한다. 발작이 발생하면 투여를 중지하고 임상적으로 필요할 때만 항전간요법이 투여될 수 있다. 5. 상호작용 1) 철분제제와 함께 복용하면 이 약의 흡수를 약 1/10까지 저해하므로 함께 복용하지 않는 것이 좋다. 부득이 함께 복용할 경우에는 이 약의 투여후 3시간 이상 간격을 두고""",2026-06-14,moderate,moderate,needs_review,"세프디니르×철은 성분특이(적색 비흡수복합). 세파클러 등 계열 일반화 근거 약함 → 계열 일괄확장 금지, 성분별 개별 확인 필요","계열 일괄확장 금지. 성분별 허가사항 개별 확인 후에만, 동거어 없으면 reject.",true
