candidate_id,candidate_theme,drug_class,ingredient_or_class,expected_nutrient,expected_relation_direction,related_existing_relation_ids,candidate_source,source_status,source_needed,risk_level,caution_flags,user_value_score,impact_score,source_priority,next_action,do_not_implement_yet
F-STA-01,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),로수바스타틴,코엔자임Q10,depletion,,literature_only(한국 허가사항 미기재 예상),needs_source,이차문헌 또는 허가사항 점검(예상=허가사항 missing),moderate,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain;name_only_472,4,3,hold,후보화만. 허가사항 동거어 점검(예상 missing). source-policy(이차문헌 허용) 결정 전 채택 금지.,true
F-STA-02,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),아토르바스타틴,코엔자임Q10,depletion,,literature_only(한국 허가사항 미기재 예상),needs_source,이차문헌 또는 허가사항 점검(예상=허가사항 missing),moderate,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain;name_only_267,4,3,hold,F-STA-01과 동일. source-policy 결정 전 채택 금지.,true
F-STA-03,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),심바스타틴,코엔자임Q10,depletion,,literature_only(한국 허가사항 미기재 예상),needs_source,이차문헌 또는 허가사항 점검(예상 missing),moderate,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain,3,2,hold,F-STA-01과 동일.,true
F-STA-04,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),피타바스타틴,코엔자임Q10,depletion,,literature_only(한국 허가사항 미기재 예상),needs_source,이차문헌 또는 허가사항 점검(예상 missing),moderate,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain,3,2,hold,F-STA-01과 동일.,true
F-STA-05,스타틴 x CoQ10,스타틴(HMG-CoA 환원효소 억제제),프라바스타틴,코엔자임Q10,depletion,,literature_only(한국 허가사항 미기재 예상),candidate_only,이차문헌 또는 허가사항 점검(예상 missing),moderate,literature_only_source;coq10_supplement_tone_risk;new_class;source_gate_uncertain,2,2,hold,F-STA-01과 동일. 잔여 스타틴 묶음.,true
F-H2-01,H2차단제 x 비타민B12,H2 수용체 차단제,파모티딘,비타민B12,depletion,,허가사항 missing 확정(구 Q15/E07 A티어 확인서),candidate_only,source-policy(이차문헌 허용) 결정 시에만 재검토. 신규 source 확인 불필요(이미 missing 확정),moderate,a_tier_source_missing_confirmed;acid_suppression_adjacent_mechanism;not_label_co_listed;long_term_use_only,3,2,hold,후보화만. PPI와 달리 라벨 동거 없음. source-policy 결정 전 보류.,true
F-H2-02,H2차단제 x 비타민B12,H2 수용체 차단제,라푸티딘,비타민B12,depletion,,허가사항 missing 확정(구 Q15/E09 A티어 확인서),candidate_only,source-policy 결정 시에만 재검토. missing 확정,moderate,a_tier_source_missing_confirmed;acid_suppression_adjacent_mechanism;not_label_co_listed,3,2,hold,F-H2-01과 동일.,true
F-H2-03,H2차단제 x 비타민B12,H2 수용체 차단제,니자티딘,비타민B12,depletion,,허가사항 missing 확정(구 Q15/E10 A티어 확인서),candidate_only,source-policy 결정 시에만 재검토. missing 확정,moderate,a_tier_source_missing_confirmed;acid_suppression_adjacent_mechanism;not_label_co_listed,3,2,hold,F-H2-01과 동일.,true
F-WAR-01,항응고 x 비타민K (영구 금지),비타민K 길항 항응고제,와파린,비타민K,antagonism,,N/A(CLAUDE.md 영구 금지·임상판단 행),candidate_only,N/A — source 확인 금지,high,permanent_ban_claudemd;antagonism;clinical_judgment_required;bleeding_inr_risk;high_risk,5,1,hold,후보화 금지. source 확인 금지. clinical reviewer 트랙에서도 별도 정책 결정 전 불가.,true
F-DOAC-01,항응고(DOAC) x 비타민K/영양소,직접 경구 항응고제(DOAC),리바록사반,비타민K,antagonism,,N/A(항응고·임상판단 영역),candidate_only,N/A — source 확인 금지,high,anticoagulant;clinical_judgment_required;bleeding_risk;sensitive;high_risk,4,1,hold,후보화 금지. 임상판단·출혈위험 영역.,true
F-DOAC-02,항응고(DOAC) x 비타민K/영양소,직접 경구 항응고제(DOAC),아픽사반,비타민K,antagonism,,N/A(항응고·임상판단 영역),candidate_only,N/A — source 확인 금지,high,anticoagulant;clinical_judgment_required;bleeding_risk;sensitive;high_risk,3,1,hold,후보화 금지.,true
F-DOAC-03,항응고(DOAC) x 비타민K/영양소,직접 경구 항응고제(DOAC),다비가트란,비타민K,antagonism,,N/A(항응고·임상판단 영역),candidate_only,N/A — source 확인 금지,high,anticoagulant;clinical_judgment_required;bleeding_risk;sensitive;high_risk,3,1,hold,후보화 금지.,true
F-DOAC-04,항응고(DOAC) x 비타민K/영양소,직접 경구 항응고제(DOAC),에독사반,비타민K,antagonism,,N/A(항응고·임상판단 영역),candidate_only,N/A — source 확인 금지,high,anticoagulant;clinical_judgment_required;bleeding_risk;sensitive;high_risk,3,1,hold,후보화 금지.,true
F-APL-01,항혈소판 x 비타민K/영양소,항혈소판제,아스피린(저용량 항혈소판),비타민K,antagonism,,N/A(항혈소판·임상판단·출혈주의),candidate_only,N/A — source 확인 금지,high,antiplatelet;bleeding_risk;clinical_judgment_required;sensitive;high_risk,4,1,hold,후보화 금지. 출혈·임상판단 영역.,true
F-APL-02,항혈소판 x 비타민K/영양소,항혈소판제,클로피도그렐,비타민K,antagonism,,N/A(항혈소판·임상판단·출혈주의),candidate_only,N/A — source 확인 금지,high,antiplatelet;bleeding_risk;clinical_judgment_required;sensitive;high_risk;name_only_158,4,1,hold,후보화 금지.,true
F-APL-03,항혈소판 x 비타민K/영양소,항혈소판제,실로스타졸,비타민K,antagonism,,N/A(항혈소판·임상판단·출혈주의),candidate_only,N/A — source 확인 금지,high,antiplatelet;bleeding_risk;clinical_judgment_required;sensitive;high_risk,2,1,hold,후보화 금지.,true
F-ONC-01,경구 항암제 x 영양소,경구 항암제(엽산길항·대사길항),메토트렉세이트,엽산,antagonism,,N/A(고위험·임상판단·개인차),candidate_only,N/A — clinical reviewer 확보 전 대상 아님,high,oncology;folate_antagonist;clinical_judgment_required;high_individual_variation;high_risk,3,1,hold,후보화 금지. clinical reviewer 확보 전 대상 아님.,true
F-ONC-02,경구 항암제 x 영양소,경구 항암제(호르몬요법),타목시펜,비타민D/칼슘,unknown,,N/A(고위험·임상판단·개인차),candidate_only,N/A — clinical reviewer 확보 전 대상 아님,high,oncology;hormonal_therapy;clinical_judgment_required;high_risk,3,1,hold,후보화 금지.,true
F-ONC-03,경구 항암제 x 영양소,경구 항암제(TKI 등),경구 항암제 일반(이마티닙/카페시타빈 등),unknown,unknown,,N/A(고위험·seed 미포함),candidate_only,N/A — clinical reviewer 확보 전 대상 아님,high,oncology;clinical_judgment_required;not_in_seed;high_risk,3,1,hold,후보화 금지. 본 seed 미포함. 향후에도 최저우선.,true
F-SSRI-01,SSRI x 영양소(민감군),선택적 세로토닌 재흡수 억제제(정신건강),에스시탈로프람,unknown,unknown,,N/A(민감군·근거 불충분·개인차),candidate_only,N/A — clinical reviewer 트랙에서만,high,mental_health_sensitive;evidence_insufficient;clinical_judgment_required;high_risk;name_only_103,3,1,hold,후보화 금지. 필요 시 clinical reviewer 트랙에서만 별도 검토.,true
F-SSRI-02,SSRI x 영양소(민감군),선택적 세로토닌 재흡수 억제제(정신건강),설트랄린,unknown,unknown,,N/A(민감군·근거 불충분·개인차),candidate_only,N/A — clinical reviewer 트랙에서만,high,mental_health_sensitive;evidence_insufficient;clinical_judgment_required;high_risk,3,1,hold,후보화 금지.,true
F-BZD-01,벤조/수면제 x 영양소(민감군),벤조디아제핀/수면제(정신건강),알프라졸람,unknown,unknown,,N/A(민감군·근거 불충분·개인차),candidate_only,N/A — clinical reviewer 트랙에서만,high,mental_health_sensitive;evidence_insufficient;clinical_judgment_required;high_risk,2,1,hold,후보화 금지.,true
F-BZD-02,벤조/수면제 x 영양소(민감군),벤조디아제핀/수면제(정신건강),졸피뎀,unknown,unknown,,N/A(민감군·근거 불충분·개인차),candidate_only,N/A — clinical reviewer 트랙에서만,high,mental_health_sensitive;evidence_insufficient;clinical_judgment_required;high_risk,2,1,hold,후보화 금지.,true
F-AP-01,항정신병약 x 영양소(민감군),항정신병약(정신건강),쿠에티아핀,unknown,unknown,,N/A(민감군·근거 불충분·개인차),candidate_only,N/A — clinical reviewer 트랙에서만,high,mental_health_sensitive;evidence_insufficient;clinical_judgment_required;high_risk,2,1,hold,후보화 금지.,true
F-OC-01,경구피임 x 영양소(여성건강 민감군),경구피임 성분(여성건강),드로스피레논,엽산/마그네슘/비타민B6,unknown,,N/A(민감군·근거 불충분·개인차),candidate_only,N/A — clinical reviewer 트랙에서만,high,womens_health_sensitive;evidence_insufficient;clinical_judgment_required;high_risk,3,1,hold,후보화 금지. 여성건강 민감군.,true
F-PED-01,소아용 약 x 영양소(민감군),소아 적응 약물 일반,소아 일반(미지정),unknown,unknown,,N/A(민감군·근거 불충분·개인차),candidate_only,N/A — clinical reviewer 트랙에서만,high,pediatric_sensitive;evidence_insufficient;clinical_judgment_required;high_risk;dose_by_weight,2,1,hold,후보화 금지. 소아 민감군.,true
F-HERB-01,허브/보충제 상호작용,허브(CYP/P-gp 유도제),세인트존스워트(성요한풀),다수 약물(영양소 외 상호작용 광범위),unknown,,literature_only(허브-약물 상호작용·허가사항 외),candidate_only,이차문헌·허브 안전성 자료. 단 베타 범위 밖 hold,high,herb_drug_interaction;cyp3a4_pgp_inducer;broad_interaction;out_of_beta_scope;high_risk,3,1,hold,후보화 금지(hold). 허브-약물 상호작용은 광범위·고위험으로 참고정보 베타 범위 밖.,true
F-HERB-02,허브/보충제 상호작용,허브(간대사 영향),밀크씨슬(실리마린),CYP 기질 약물,unknown,,literature_only(허브-약물 상호작용·허가사항 외),candidate_only,이차문헌·허브 안전성 자료,moderate,herb_drug_interaction;evidence_mixed;out_of_beta_scope,2,1,hold,후보화 금지(hold). 베타 범위 밖.,true
F-HERB-03,허브/보충제 상호작용,허브(항혈소판 영향),은행잎(징코빌로바),항혈소판/항응고 약물,unknown,,literature_only(허브-약물 상호작용·허가사항 외),candidate_only,이차문헌·허브 안전성 자료,high,herb_drug_interaction;bleeding_risk;antiplatelet_potentiation;out_of_beta_scope;high_risk,2,1,hold,후보화 금지(hold). 출혈위험·베타 범위 밖.,true
