rank,ingredient,product_count,therapeutic_class,precheck_class,proposed_nutrient,mechanism,detector_key,potassium_safety,risk_level,recovery_promoted,reason
301,베타히스틴염산염,11,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
302,프레드니솔론발레로아세테이트,11,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
303,테이코플라닌,11,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
304,테네리글립틴이토실산염이수화물,11,당뇨,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
305,할로페리돌,11,기타,sensitive_hold,,,,false,,false,민감/고위험군(정신건강·항혈전·항암/면역억제·마취/규제·호르몬 특수군) — 임상판단·출혈/상호작용/이식/규제 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
306,메살라진,11,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
307,프레드니솔론아세테이트,11,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
308,에제티미브(미분화)/로수바스타틴칼슘,10,고지혈증,rejected_precheck,,,,false,,false,복합제(2성분 이상) — 단일 성분-영양소 relation 모델 부적합·짝이온/조성 트랩 위험. 단일 경구 완제 후보 아님(복합제 함유 trap 제외).
309,란소프라졸,10,소화/위장,already_covered_or_drafted,,,,false,,false,이미 relation 보유(성분 base 매칭 또는 relation_card 품목 존재) — 재후보화 불필요.
310,엠파글리플로진/리나글립틴,10,당뇨,rejected_precheck,,,,false,,false,복합제(2성분 이상) — 단일 성분-영양소 relation 모델 부적합·짝이온/조성 트랩 위험. 단일 경구 완제 후보 아님(복합제 함유 trap 제외).
311,폴마콕시브,10,해열진통/소염,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
312,테르비나핀,10,항진균,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
313,테르비나핀염산염/글리시리진산이칼륨/리도카인/L-멘톨,10,항진균,rejected_precheck,,,,false,,false,복합제(2성분 이상) — 단일 성분-영양소 relation 모델 부적합·짝이온/조성 트랩 위험. 단일 경구 완제 후보 아님(복합제 함유 trap 제외).
314,케토코나졸,10,항진균,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
315,부프로피온염산염,10,기타,sensitive_hold,,,,false,,false,민감/고위험군(정신건강·항혈전·항암/면역억제·마취/규제·호르몬 특수군) — 임상판단·출혈/상호작용/이식/규제 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
316,카르바마제핀,10,기타,sensitive_hold,,,,false,,false,민감/고위험군(정신건강·항혈전·항암/면역억제·마취/규제·호르몬 특수군) — 임상판단·출혈/상호작용/이식/규제 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
317,아미설프리드,10,기타,sensitive_hold,,,,false,,false,민감/고위험군(정신건강·항혈전·항암/면역억제·마취/규제·호르몬 특수군) — 임상판단·출혈/상호작용/이식/규제 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
318,실로도신,10,비뇨/전립선,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
319,클로르헥시딘글루콘산염 액/에탄올(95),10,기타,rejected_precheck,,,,false,,false,복합제(2성분 이상) — 단일 성분-영양소 relation 모델 부적합·짝이온/조성 트랩 위험. 단일 경구 완제 후보 아님(복합제 함유 trap 제외).
320,시나칼세트염산염,10,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
321,날트렉손염산염,10,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
322,클래리트로마이신 제피과립,10,항생/항균,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음 (품목수만으로 후보화 금지·계열 일반화 금지·칼슘/칼륨 짝이온염 트랩 제외).
323,피타바스타틴칼슘/에제티미브,10,고지혈증,rejected_precheck,,,,false,,false,복합제(2성분 이상) — 단일 성분-영양소 relation 모델 부적합·짝이온/조성 트랩 위험. 단일 경구 완제 후보 아님(복합제 함유 trap 제외).
