seed_rank,query_name,seed_category,matched_status,matched_item_seq,matched_item_name,matched_ingredient_name,matched_relation_id,relation_title,display_mode,matched_total,matched_relation_card_count,matched_name_only_count,match_method,confidence,reason,next_action
1,아세트아미노펜,해열진통제/소염진통제,name_only_only,202107495,게보린브이정(아세트아미노펜),아세트아미노펜,,,name_only,34,0,34,ingredient_exact,high,"ingredient_exact: name_only 34건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
2,이부프로펜,해열진통제/소염진통제,name_only_only,202302051,건일이부프로펜연질캡슐400밀리그램,이부프로펜,,,name_only,94,0,94,ingredient_exact,high,"ingredient_exact: name_only 94건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
3,아스피린,해열진통제/소염진통제,name_only_only,201309112,경동아스피린장용정,아스피린,,,name_only,47,0,47,ingredient_exact,high,"ingredient_exact: name_only 47건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
4,나프록센,해열진통제/소염진통제,name_only_only,201403474,경남나프록센연질캡슐,나프록센,,,name_only,42,0,42,ingredient_exact,high,"ingredient_exact: name_only 42건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
5,덱시부프로펜,해열진통제/소염진통제,name_only_only,200900682,굿스펜연질캡슐(덱시부프로펜),덱시부프로펜,,,name_only,99,0,99,ingredient_exact,high,"ingredient_exact: name_only 99건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
6,세레콕시브,해열진통제/소염진통제,missing_from_full_index,,,,,,,0,0,0,none,n/a,인덱스에 매칭 품목 없음 (정규/alias/성분/브랜드 모두 불일치),full_index_expansion_candidate (별도 트랙)
7,아세클로페낙,해열진통제/소염진통제,name_only_only,201603007,뉴마탈CR정(아세클로페낙),아세클로페낙,,,name_only,143,0,143,ingredient_exact,high,"ingredient_exact: name_only 143건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
8,록소프로펜,해열진통제/소염진통제,name_only_only,201305793,경보록소프로펜나트륨수화물정,록소프로펜나트륨;록소프로펜나트륨수화물,,,name_only,140,0,140,ingredient_substring,medium,"ingredient_substring: name_only 140건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
9,멜록시캄,해열진통제/소염진통제,name_only_only,201903721,뉴록시캄캡슐7.5밀리그램(멜록시캄),멜록시캄,,,name_only,99,0,99,ingredient_exact,high,"ingredient_exact: name_only 99건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
10,디클로페낙,해열진통제/소염진통제,name_only_only,201500494,디클로메드액0.074%(디클로페낙),디클로페낙,,,name_only,7,0,7,ingredient_exact,high,"ingredient_exact: name_only 7건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
11,슈도에페드린,감기약/종합감기약,name_only_only,202302739,그날엔노즈에이연질캡슐,감초/건강/육계/마황/반하/세신/오미자/작약/건조엑스로서/아세트아미노펜/클로르페니라민말레산염/슈도에페드린염산염/카페인무수물;감초엑스분말(14.3→1)/인삼건조엑스(14.5→1)/아세트아미노펜/클로르페니라민말레산염/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/구아이페네신/카페인무수물/티아민질산염/리보플라빈/아스코르브산97%;구아이페네신/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물;레보세티리진염산염/슈도에페드린염산염;메퀴타진/밸라돈나총알카로이드/글리시리진산이칼륨/슈도에페드린염산염/카페인무수물,,,name_only,268,0,268,ingredient_substring,medium,"ingredient_substring: name_only 268건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
12,덱스트로메토르판,감기약/종합감기약,name_only_only,202302948,그날엔코프에이연질캡슐,DL-메틸에페드린염산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레산염;DL-메틸에페드린염산염/클로르페니라민말레산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물;dl-메틸에페드린염산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물;dl-메틸에페드린염산염/노스카핀/카르비녹사민말레산염/구아야콜설폰산칼륨/덱스트로메토르판브롬화수소산염수화물;dl-메틸에페드린염산염/클로르페니라민말레산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물,,,name_only,262,0,262,ingredient_substring,medium,"ingredient_substring: name_only 262건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
13,클로르페니라민,감기약/종합감기약,name_only_only,202501561,광동콜에스액,D-판테놀/피리독신염산염/클로르페니라민말레산염/글리시리진산이칼륨/네오스티그민메틸황산염/테트라히드로졸린염산염/콘드로이틴설페이트나트륨/L-아스파르트산칼륨;DL-메틸에페드린염산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레산염;DL-메틸에페드린염산염/클로르페니라민말레산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물;dl-메틸에페드린염산염/클로르페니라민말레산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물;갈근/마황/대추/육계/작약/감초/건강/에텐자미드/클로르페니라민말레산염/노스카핀/카페인무수물,,,name_only,407,0,407,ingredient_substring,medium,"ingredient_substring: name_only 407건만, relation_card 0건 — 이름은 있으나 정보 없음",relation_expansion_candidate
14,구아이페네신,감기약/종합감기약,name_only_only,202501561,광동콜에스액,DL-메틸에페드린염산염/구아이페네신/노스카핀염산염수화물/아세트아미노펜;DL-메틸에페드린염산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레산염;DL-메틸에페드린염산염/클로르페니라민말레산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물;dl-메틸에페드린염산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물;dl-메틸에페드린염산염/클로르페니라민말레산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물,,,name_only,293,0,293,ingredient_substring,medium,"ingredient_substring: name_only 293건만, relation_card 0건 — 이름은 있으나 정보 없음",monitor (low prevalence)
