candidate_id,track,ingredient,nutrient,precheck_class,precheck_reason,risk_level
F-STA-01,nutrient,로수바스타틴,코엔자임Q10,literature_only_hold,한국 허가사항 미기재 예상(CoQ10). source-policy(이차문헌 허용) 결정 전 영구 보류.,moderate
F-STA-02,nutrient,아토르바스타틴,코엔자임Q10,literature_only_hold,허가사항 미기재 예상. source-policy 결정 전 보류.,moderate
F-STA-03,nutrient,심바스타틴,코엔자임Q10,literature_only_hold,허가사항 미기재 예상. 보류.,moderate
F-STA-04,nutrient,피타바스타틴,코엔자임Q10,literature_only_hold,허가사항 미기재 예상. 보류.,moderate
F-STA-05,nutrient,프라바스타틴,코엔자임Q10,literature_only_hold,허가사항 미기재 예상. 보류.,moderate
F-H2-01,nutrient,파모티딘,비타민B12,literature_only_hold,A티어 확인서 미기재(missing) 확정(구 Q15/E07). 재fetch 불필요. source-policy 결정 시에만 재검토.,moderate
F-H2-02,nutrient,라푸티딘,비타민B12,literature_only_hold,missing 확정(구 Q15/E09).,moderate
F-H2-03,nutrient,니자티딘,비타민B12,literature_only_hold,missing 확정(구 Q15/E10).,moderate
F-PPI-01,nutrient,일라프라졸,마그네슘,literature_only_hold,index 2품목뿐 — 한계효용 낮음. PPI class 저마그네슘 패턴은 존재하나 우선순위 hold.,low
F-PPI-02,nutrient,일라프라졸,비타민B12,literature_only_hold,index 2품목뿐. PPI class B12 패턴 존재하나 hold.,low
F-TET-01,nutrient,테트라사이클린,칼슘,literature_only_hold,테트라사이클린 원성분 index 1품목 — near-zero coverage. 독시/미노 톤 존재하나 hold.,low
D-BIG-01,nutrient,부포르민,비타민B12,literature_only_hold,부포르민/펜포르민 국내 미유통 가능성 — 시장 의미 0. 현행 비구아나이드는 메트포르민 단일(id12 라이브).,low
D-THZ-06,nutrient,히드로클로로티아지드,칼슘,literature_only_hold,치아지드는 칼슘 배설을 '감소'(고칼슘혈증 방향) — depletion 후보 아님. 혼동방지 hold. HCTZ는 K/Mg covered.,moderate
