queue_id,candidate_theme,ingredient_or_class,expected_nutrient,expected_card_impact,user_value_score,source_availability_score,risk_level,source_check_priority,likely_source_type,current_status,reason,next_action,do_not_implement_yet
Q01,PPI x B12/Mg 추가확장,에스오메프라졸(esomeprazole),비타민B12·마그네슘,index_only(relation16 존재·카드0),3,5,low,P1,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,relation16(에스오메x마그네슘) 이미 존재하나 alias 미부여로 매핑 카드 0. PPI 계열 허가사항 동거 신호 강함(오메/라베/판토 선례). 막힌 건 relation 신설이 아니라 full index/alias 확장 트랙이라 신규 relation 불필요. B12 동거도 점검 대상.,relation 신설 말 것. full index/alias 확장 별도 트랙에서 에스오메프라졸 품목 매핑 검토(PM 승인). 허가사항 동거어 재확인만.,true
Q02,PPI x B12/Mg 추가확장,일프라졸/기타 PPI 단일제 잔여,비타민B12·마그네슘,low(name_only 소량),2,4,low,P2,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,A티어 PPI 4종(라베/판토/란소/덱스란소)은 이미 라이브(ids32-39). 잔여 PPI 단일제는 품목수 적고 활성이성질체/유사물질이라 한계효용 낮음. 허가사항 동거 가능성은 높음.,잔여 PPI 단일제 후보 목록만 수집. 품목수 임계 미달 시 보류. 허가사항 확인은 후순위.,true
Q03,비스포스포네이트 x 칼슘 추가후보,경구 비스포스포네이트 잔여(미노드론산 등),칼슘·철분·마그네슘,low~med(name_only 소량),3,4,low,P2,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,알렌/리세/이반드론산은 칼슘 라이브(ids29·40·41). 경구 비스포는 다가양이온 동시복용 간격 라벨이 계열 공통이라 source 동거 가능성 높음. 단 잔여 경구 비스포 단일제 품목수 적음. 주사제(졸레드론산)는 경구흡수 테마 부적합으로 제외.,경구 비스포 잔여 단일제만 후보화. 주사제 제외. 허가사항 간격 라벨 확인.,true
Q04,비스포스포네이트 x 철/Mg 확장(기존성분),알렌드론산/리세드론산/이반드론산,철분·마그네슘,0(enrichment·기존 covered),3,4,low,P2,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,현재 비스포는 칼슘 단독 relation. 허가사항은 다가양이온(칼슘·철·마그네슘·제산제)을 함께 간격 권고하는 경우가 많아 철·Mg 동거 신호 가능. 신규 covered 품목 0(기존 covered 품목 테마 보강).,기존 비스포 covered 품목 허가사항에서 철·Mg 동거어 확인. card 증가 0임을 명시.,true
Q05,세팔로스포린/플루오로퀴놀론 계열 x 철/칼슘/Mg,세파클러·세프포독심 등 경구 세팔로스포린,철분·칼슘·마그네슘,med(name_only 다수)이나 계열일반화 불가,2,2,moderate,P3,식약처 허가사항(첨부문서)/nedrug getItemDetail,needs_review,세프디니르x철(id42)은 철-세프디니르 적색 비흡수복합 형성이라는 성분특이 상호작용. 세파클러·세프포독심 등 다수 경구 세팔로스포린(name_only 331)은 동일 철 킬레이션 근거가 약함. 계열 일반화 시 관계 날조 위험. 개별 허가사항 동거어 없으면 미채택.,계열 일괄확장 금지. 성분별 허가사항 동거어 개별 확인 필요. 동거어 없으면 reject. 우선순위 낮음.,true
Q06,플루오로퀴놀론 x 아연(기존성분 보강),레보/시프로/오플록사신(기존 covered),아연,0(enrichment·기존 covered),3,5,low,P1,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,기존 퀴놀론 relation 이 이미 '다가양이온(칼슘·철·마그네슘)' 간격 라벨 인용. 아연도 동일 문장 동거 가능성 매우 높음. 톤 안전(분리/간격 권장). 단 신규 covered 0(테마 보강).,기존 covered 퀴놀론 품목 허가사항에서 아연 동거어 확인. card 증가 0 명시.,true
Q07,테트라사이클린 x 아연(기존성분 보강),독시/미노사이클린(기존 covered),아연,0(enrichment·기존 covered),3,5,low,P1,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,독시/미노사이클린 기존 relation 과 동일 다가양이온 패턴. 아연 라벨 동거 가능성 높음. 신규 covered 0.,기존 covered 테트라 품목 허가사항에서 아연 동거어 확인. card 증가 0 명시.,true
Q08,레보티록신 x 마그네슘(기존성분 보강),레보티록신(기존 covered),마그네슘,0(enrichment·기존 covered),3,4,low,P2,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,relation10·11(칼슘·철) 존재. 마그네슘 제산제 문맥 동거 가능. 신규 covered 0.,기존 covered 레보티록신(17품목) 허가사항에서 Mg 동거어 확인. card 증가 0 명시.,true
Q09,메트포르민 x B12 확장,메트포르민(단일+복합 모두 covered),비타민B12,0(headroom 0·이미 covered),2,5,low,hold,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,메트포르민x B12 는 relation12 라이브. 인덱스 메트포르민 113품목 전건 covered(name_only 잔여 0). 추가 확장 headroom 사실상 없음. 신규 relation 불필요·신규 covered 0. 향후 메트포르민 신규 품목 유입 시 자동 매핑 대상.,신규 작업 없음. 새 품목 유입 모니터링만. 별도 source 확인 불필요.,true
Q10,치아지드유사 이뇨제 x 칼륨/Mg,클로르탈리돈(chlortalidone),칼륨·마그네슘,med(name_only 64)이나 복합제 다수,3,4,moderate,P2,식약처 허가사항(첨부문서)/nedrug getItemDetail,source_check_queue,HCTZ relation19·20 동일 치아지드 계열. 전해질(칼륨·마그네슘 저하) 라벨 신호 가능. ★승격 전 칼륨 안전정책 승계 필수(product_link_allowed=false·potassium_safety_card=true). 단일제 적고 ARB 복합 다수라 칼륨 정책 적용 대상.,칼륨 안전정책 승계 코드 확인 선행. 그 후 허가사항 전해질 동거어 확인. 정책 미승계 시 보류.,true
