candidate_id,candidate_theme,drug_class,ingredient_or_class,expected_nutrient,expected_relation_direction,related_existing_relation_ids,candidate_source,estimated_card_impact,matched_item_count,name_only_item_count,popular_seed_match_count,source_status,source_needed,risk_level,caution_flags,user_value_score,impact_score,source_priority,next_action,do_not_implement_yet
F-CEPH-01,세파클러 × 철분 동시복용 흡수 영향 가설(미확정),경구 세팔로스포린(1세대),세파클러,철분,absorption,42,"허가사항 상호작용(성분별 개별 확인 필요, 세프디니르 id42 패턴 참조)",high(135),135,135,1,needs_source,세파클러 단일성분 대표 2~3품목 nedrug getItemDetail 상호작용란에서 철분/다가양이온 동시복용 흡수저하 동거어 직접 확인. 계열 일반화 금지(세프디니르의 적색 비흡수복합은 성분특이).,low,class_generalization_forbidden; per_ingredient_source_required; 세프디니르 외 철 킬레이션 근거 약함,3,4,P2,세파클러 대표 품목 허가사항 fetch→철/양이온 동거어 검색. 없으면 reject 기록(계열확장 금지).,true
D-CORT-01,코르티코스테로이드 × 칼륨 (미네랄코르티코이드 작용 저칼륨),전신 코르티코스테로이드 (systemic corticosteroid),프레드니솔론,칼륨,depletion,17;19,허가사항 이상반응 — 저칼륨혈증·전해질 변화 (스테로이드 미네랄코르티코이드 작용). 프레드니솔론 국내 품목 다수,high(117),117,117,0,needs_source,프레드니솔론 국내 대표 품목 허가사항 원문 저칼륨혈증 직접 문구 + itemSeq,moderate,potassium_safety_card 승계 필요(승격 시); 장기/고용량 한정 가능성 — 용량맥락 주의,3,3,P2,프레드니솔론 허가사항 저칼륨혈증 문구 fetch 후 용량/기간 맥락 확인,true
D-CORT-02,코르티코스테로이드 × 칼슘 (장기 투여 골소실/칼슘 흡수),전신 코르티코스테로이드 (systemic corticosteroid),프레드니솔론,칼슘,absorption,,허가사항 일반적 주의 — 장기 투여 시 골다공증·칼슘 대사(흡수 저하/배설 증가). 직접 '칼슘 결핍' 문구는 약할 수 있음,high(117),117,117,0,candidate_only,프레드니솔론 허가사항에서 칼슘 흡수/대사 직접 문구 확인. 미확인 시 literature_only(골다공증 우회 표현)로 강등,moderate,처방약 부작용을 보충제 정보로 오인 금지; 골다공증 예방 주장/복용지시 어휘 금지,3,3,P2,프레드니솔론 허가사항 칼슘 대사 직접 문구 유무 확인 (D-CORT-01과 동시 fetch),true
D-CORT-03,코르티코스테로이드 × 칼륨,전신 코르티코스테로이드 (systemic corticosteroid),메틸프레드니솔론,칼륨,depletion,17;19,"허가사항 이상반응 — 저칼륨혈증 (스테로이드 class, 프레드니솔론과 동일 패턴)",high(73),73,73,0,needs_source,메틸프레드니솔론 국내 품목 허가사항 저칼륨혈증 문구 + itemSeq,moderate,potassium_safety_card 승계 필요(승격 시); 용량/기간 맥락 주의,3,3,P2,메틸프레드니솔론 허가사항 저칼륨혈증 문구 fetch,true
F-CEPH-02,세푸록심 × 철분 동시복용 흡수 영향 가설(미확정),경구 세팔로스포린(2세대),세푸록심,철분,absorption,42,허가사항 상호작용(성분별 개별 확인 필요),medium(39),39,39,0,needs_source,세푸록심악세틸 대표 품목 nedrug getItemDetail 상호작용/제산제·철분 동거어 확인. 세푸록심은 제산제·H2와 흡수저하 보고 있으나 철분 직접 동거어는 개별 검증 필요.,low,class_generalization_forbidden; per_ingredient_source_required,2,2,P2,세푸록심악세틸 허가사항 fetch→철/양이온 동거어 검색. 없으면 reject.,true
F-CEPH-03,세프포독심 × 철분 동시복용 흡수 영향 가설(미확정),경구 세팔로스포린(3세대),세프포독심,철분,absorption,42,허가사항 상호작용(성분별 개별 확인 필요),medium(39),39,39,0,needs_source,세프포독심프록세틸 대표 품목 nedrug getItemDetail 상호작용란 철분/제산제 동거어 확인. 흡수가 위산 의존적이라 제산제 언급 가능성 있으나 철분 직접어는 개별 검증.,low,class_generalization_forbidden; per_ingredient_source_required,2,2,P2,세프포독심 허가사항 fetch→철/양이온 동거어 검색. 없으면 reject.,true
D-CA-01,탄산탈수효소억제제(이뇨 유사) × 칼륨,탄산탈수효소억제제 (carbonic anhydrase inhibitor),아세타졸아미드,칼륨,depletion,17;19,허가사항 이상반응 — 저칼륨혈증·대사성 산증 (탄산탈수효소억제 이뇨 작용). 녹내장/고산병 적응증으로 국내 유통,none(0),0,0,0,needs_source,아세타졸아미드 국내 품목(예: 다이아막스정) 허가사항 저칼륨혈증 직접 문구 + itemSeq,moderate,potassium_safety_card 승계 필요(승격 시); 이뇨제 외 적응증 약물 — 사용자 맥락 다양,2,2,P2,아세타졸아미드 허가사항 저칼륨혈증 문구 fetch,true
D-LOOP-01,루프이뇨제 잔여 × 칼륨,루프이뇨제 (loop diuretic),부메타니드,칼륨,depletion,17;30,허가사항 이상반응 — 저칼륨혈증·전해질장애 (푸로세미드 id17과 동일 루프 class 문구),none(0),0,0,0,needs_source,부메타니드 국내 품목(예: 부광 부메타나이드 계열) 허가사항 저칼륨혈증 문구 + itemSeq,moderate,potassium_safety_card 승계 필요(승격 시); 칼륨 임의보충 위험,3,3,P2,부메타니드 국내 품목 itemSeq 확인 후 저칼륨혈증 문구 재fetch,true
D-LOOP-04,루프이뇨제 잔여(국내 유통) × 칼륨,루프이뇨제 (loop diuretic),아조세미드,칼륨,depletion,17;30,허가사항 이상반응 — 저칼륨혈증 (루프 class). 아조세미드는 국내 유통(예: 유리논정 계열),none(0),0,0,0,needs_source,아조세미드 국내 대표 품목 허가사항 저칼륨혈증 문구 + itemSeq,moderate,potassium_safety_card 승계 필요(승격 시); 칼륨 임의보충 위험,3,3,P2,아조세미드 국내 품목 itemSeq 확인 후 저칼륨혈증 문구 재fetch,true
D-THZ-01,치아지드유사 이뇨제 잔여 × 칼륨 (저칼륨혈증 class effect),치아지드유사 이뇨제 (thiazide-like diuretic),메토라존,칼륨,depletion,19;53;55,허가사항 일반적 주의/이상반응 — 전해질장애 저칼륨혈증 (치아지드유사 class 문구 예상). 메토라존 국내 품목 허가사항 itemSeq 확인 필요,none(0),0,0,0,needs_source,메토라존 국내 대표 품목(예: 자록소린 계열) 식약처 허가사항 원문에서 저칼륨혈증/전해질 모니터링 직접 문구 + itemSeq,moderate,potassium_safety_card 승계 필요(승격 시); 칼륨 임의보충 위험 — 모니터링 방향만,3,3,P2,메토라존 국내 허가 품목 존재 여부 및 itemSeq 확인 후 저칼륨혈증 문구 재fetch,true
