candidate_id,track,ingredient,nutrient,mechanism,relation_type,detector_key,risk_level,candidate_source,precheck_class,precheck_reason,do_not_implement_yet
F-CEPH-01,nutrient,세파클러,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-02,nutrient,세푸록심,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-03,nutrient,세프포독심,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-04,nutrient,세프프로질,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-05,nutrient,세픽심,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-06,nutrient,세프라딘,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-07,nutrient,세프카펜,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-08,nutrient,세프디토렌,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-09,nutrient,세팔렉신,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
F-CEPH-10,nutrient,세프록사딘,철분,absorption,separation,iron_absorption,low,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
D-CORT-01,nutrient,프레드니솔론,칼륨,depletion,monitoring,potassium,moderate,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
D-CORT-02,nutrient,프레드니솔론,칼슘,absorption,monitoring,calcium_absorption,moderate,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
D-CORT-03,nutrient,메틸프레드니솔론,칼륨,depletion,monitoring,potassium,moderate,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
D-CORT-07,nutrient,메틸프레드니솔론,칼슘,absorption,monitoring,calcium_absorption,moderate,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
D-CORT-04,nutrient,덱사메타손,칼륨,depletion,monitoring,potassium,moderate,theme_map.SEARCH_INGREDIENTS,source_check_candidate,grounded theme(라벨 직접 동거어 검증 대상). 외용/주사제 trap 은 source-fetch 경구필터가 차단.,true
