candidate_id,track,ingredient,nutrient,mechanism,relation_type,verdict,draft_eligible,itemseqs_checked,confidence,risk_level,potassium_safety_card,gate_reason,adversarial_fails,source_quote,safe_copy,live_integration_forbidden
F-CEPH-01,nutrient,세파클러,철분,absorption,separation,reject,False,100003,label_missing,low,false,DENY: fetch 1품목 상호작용/주의/이상반응 문맥에 철분 방향성 동거어 없음 — 한국 허가사항 미기재(literature only 가능). 계열 유추 채택 금지.,,,,true
F-CEPH-02,nutrient,세푸록심,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-03,nutrient,세프포독심,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-04,nutrient,세프프로질,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-05,nutrient,세픽심,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-06,nutrient,세프라딘,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-07,nutrient,세프카펜,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-08,nutrient,세프디토렌,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-09,nutrient,세팔렉신,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
F-CEPH-10,nutrient,세프록사딘,철분,absorption,separation,needs_review,False,,no_product,low,false,DENY(fail-closed): 국내 완제·경구·정상·단일성분 대표 품목 미확보(검색 0건/네트워크) — 재확인 필요.,,,,true
