rank,ingredient,product_count,therapeutic_class,relation_card,kpi_bucket,reason
1,프레가발린,200,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
2,피나스테리드,193,비뇨/전립선,no,safe_name_only,"근거 약함/일반 계열(비뇨/전립선) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
3,몬테루카스트나트륨,186,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
4,라베프라졸나트륨,174,소화/위장,yes,covered,"relation_card 보유(base=라베프라졸, relation_card 품목 174건) — source_confirmed 근거 존재"
5,모사프리드시트르산염수화물,160,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
6,탐스로신염산염,160,비뇨/전립선,no,safe_name_only,"근거 약함/일반 계열(비뇨/전립선) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
7,아목시실린수화물/묽은클라불란산칼륨,159,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
8,플루코나졸,156,항진균,no,safe_name_only,"근거 약함/일반 계열(항진균) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
9,타다라필,150,비뇨/전립선,no,safe_name_only,"근거 약함/일반 계열(비뇨/전립선) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
10,레바미피드,149,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
11,도네페질염산염수화물,146,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
12,클래리트로마이신,144,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
13,아세클로페낙,143,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
14,에페리손염산염,142,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
15,가바펜틴,137,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
16,글리메피리드,136,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
17,록소프로펜나트륨수화물,135,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
18,세파클러수화물,134,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
19,쿠에티아핀푸마르산염,130,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
20,사르포그렐레이트염산염,120,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
21,레보드로프로피진,119,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
22,솔리페나신숙신산염,115,비뇨/전립선,no,safe_name_only,"근거 약함/일반 계열(비뇨/전립선) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
23,토피라메이트,115,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
24,테르비나핀염산염,114,항진균,no,safe_name_only,"근거 약함/일반 계열(항진균) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
25,메트포르민,113,당뇨,yes,covered,"relation_card 보유(base=메트포르민, relation_card 품목 113건) — source_confirmed 근거 존재"
26,히드로클로로티아지드,113,고혈압/심혈관,yes,covered,"relation_card 보유(base=히드로클로로티아지드, relation_card 품목 113건) — source_confirmed 근거 존재"
27,플루옥세틴염산염,110,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
28,메만틴염산염,109,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
29,에르도스테인,109,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
30,파모티딘,106,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
31,로수바스타틴칼슘,105,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
32,실로스타졸,103,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
33,에스시탈로프람옥살산염,103,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
34,로사르탄칼륨,101,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
35,오셀타미비르인산염,101,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
36,올로파타딘염산염,100,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
37,아세트아미노펜/트라마돌염산염,99,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
38,덱시부프로펜,99,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
39,멜록시캄,99,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
