rank,ingredient,product_count,therapeutic_class,precheck_class,proposed_nutrient,mechanism,detector_key,potassium_safety,risk_level,recovery_promoted,reason
101,로수바스타틴칼슘/칸데사르탄실렉세틸,44,고혈압/심혈관,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
102,판토프라졸나트륨세스키히드레이트,43,소화/위장,already_covered_or_drafted,,,,false,,false,이미 relation 보유(판토프라졸) — 재후보화 불필요.
103,펙소페나딘염산염,43,호흡기/알레르기,source_check_candidate,마그네슘,absorption,mg_absorption,false,low,false,펙소페나딘 단일 특이: Al/Mg 제산제 병용시 펙소페나딘 흡수 저하 라벨 실재 개연(퀴놀론 동형). 단일성분 근거.
104,테라조신염산염수화물,43,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
105,리바록사반,43,항혈전(민감),sensitive_hold,,,,false,,false,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
106,오메프라졸,42,소화/위장,already_covered_or_drafted,,,,false,,false,이미 relation 보유(에스오메프라졸) — 재후보화 불필요.
107,나프록센,42,해열진통/소염,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
108,아토르바스타틴칼슘수화물,42,고지혈증,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
109,피타바스타틴칼슘수화물,42,고지혈증,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
110,이토프리드염산염,42,소화/위장,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
111,염화세틸피리디늄,42,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
112,리바스티그민,41,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
113,세프포독심프록세틸,39,항생/항균,source_check_candidate,철분,absorption,iron_absorption,false,low,false,"경구 세파: 흡수 pH의존. cefdinir만 철 적색복합체 확립 — 계열일반화 금지, 단일 라벨 철 동거어 실측만."
114,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),39,골다공증,already_covered_or_drafted,,,,false,,false,이미 relation 보유(리세드론산) — 재후보화 불필요.
115,암로디핀베실산염/로사르탄칼륨,38,고혈압/심혈관,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
116,올메사르탄메독소밀/암로디핀베실산염,37,고혈압/심혈관,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
117,리나글립틴,37,당뇨,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
118,테고프라잔,37,기타,source_check_candidate,철분,absorption,iron_absorption,false,low,false,P-CAB(K-CAB): batch2 보노프라잔×철분 동일계열 선례. 강력 산억제→철 흡수 저해 라벨 동거어 개연. 단일성분 실측.
119,올란자핀,37,정신건강(민감),sensitive_hold,,,,false,,false,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
120,라사길린메실산염,37,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
121,피타바스타틴칼슘,36,고지혈증,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
122,플루오로메톨론,36,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
123,포비돈요오드,36,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
124,암브록솔염산염,35,호흡기/알레르기,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
125,아세트아미노펜,34,해열진통/소염,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
126,클래리트로마이신제피과립,34,항생/항균,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
127,암로디핀베실산염,34,고혈압/심혈관,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
128,텔미사르탄파우더(23.9%)/암로디핀베실산염,34,고혈압/심혈관,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
129,알벤다졸,34,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
130,오플록사신,33,기타,already_covered_or_drafted,,,,false,,false,이미 relation 보유(오플록사신) — 재후보화 불필요.
131,세푸록심악세틸,33,기타,source_check_candidate,철분,absorption,iron_absorption,false,low,false,"경구 세파(악세틸): 흡수 산도의존. 철 킬레이션 미확립(cefdinir-only) → low, 단일 라벨 실측."
132,피록시캄,33,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
133,페북소스타트,33,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
134,아세브로필린,33,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
135,라모세트론염산염,33,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
136,토파시티닙시트르산염,33,기타,sensitive_hold,,,,false,,false,민감/고위험군(면역억제/항암/특수군) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
137,둘록세틴염산염장용과립,31,정신건강(민감),sensitive_hold,,,,false,,false,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
138,리세드론산나트륨2.5수화물,31,골다공증,already_covered_or_drafted,,,,false,,false,이미 relation 보유(리세드론산) — 재후보화 불필요.
139,타크로리무스수화물,31,기타,sensitive_hold,,,,false,,false,민감/고위험군(면역억제/항암/특수군) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
140,로피니롤염산염,31,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
141,올메사르탄메독소밀,30,고혈압/심혈관,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
142,탈니플루메이트,30,해열진통/소염,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
143,미르타자핀,30,정신건강(민감),sensitive_hold,,,,false,,false,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
144,프로피베린염산염,30,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
145,토브라마이신,30,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
146,브로멜라인,30,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
147,클로르족사존/에텐자미드/카페인수화물,29,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
148,사이클로스포린,29,기타,sensitive_hold,,,,false,,false,민감/고위험군(면역억제/항암/특수군) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
149,클로르헥시딘글루콘산염 액,29,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
150,펜타닐시트르산염,29,기타,rejected_precheck,,,,false,,false,허가사항에 6대 영양소(철/칼슘/Mg/아연/칼륨) 직접 상호작용/이상반응 동거어 개연 낮음(품목수만으로 후보화 금지).
151,에독사반토실산염수화물,29,항혈전(민감),sensitive_hold,,,,false,,false,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
152,아리피프라졸,28,정신건강(민감),sensitive_hold,,,,false,,false,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용/이식 위험으로 참고정보 베타 범위 밖(clinical reviewer 트랙 전 hold).
